timestamp,temperature,core_voltage,cpu_frequency
2025-04-03 16:25:47,53.7,1.2625,1000.0
2025-04-03 16:25:52,53.7,1.2625,1000.0
2025-04-03 16:25:57,53.7,1.2625,1000.0
2025-04-03 16:26:02,53.7,1.2625,1000.0
2025-04-03 16:26:07,53.7,1.2625,1000.002
2025-04-03 16:26:12,53.7,1.2625,999.998
2025-04-03 16:26:17,54.2,1.2625,1000.0
2025-04-03 16:26:22,53.7,1.2625,1000.0
2025-04-03 16:26:27,53.7,1.2625,1000.0
2025-04-03 16:26:32,54.2,1.2625,1000.0
2025-04-03 16:26:37,53.2,1.2625,1000.0
2025-04-03 16:26:42,53.7,1.2625,1000.0
2025-04-03 16:26:47,53.2,1.2625,1000.0
2025-04-03 16:26:52,53.7,1.2625,1000.0
2025-04-03 16:26:57,53.7,1.2625,1000.0
2025-04-03 16:27:02,53.7,1.2625,1000.0
2025-04-03 16:27:07,53.7,1.2625,1000.0
2025-04-03 16:27:12,53.7,1.2625,1000.0
2025-04-03 16:27:17,53.7,1.2625,1000.0
2025-04-03 16:27:22,53.7,1.2625,1000.002
2025-04-03 16:27:27,53.7,1.2625,999.998
2025-04-03 16:27:32,53.7,1.2625,1000.002
2025-04-03 16:27:37,53.7,1.2625,1000.0
2025-04-03 16:27:42,53.7,1.2625,999.998
2025-04-03 16:27:47,52.6,1.2625,1000.0
2025-04-03 16:27:52,53.7,1.2625,1000.0
2025-04-03 16:27:58,53.7,1.2625,1000.0
2025-04-03 16:28:03,53.7,1.2625,1000.0
2025-04-03 16:28:08,53.7,1.2625,1000.0
2025-04-03 16:28:13,53.7,1.2625,1000.0
2025-04-03 16:28:18,53.2,1.2625,1000.0
2025-04-03 16:28:23,53.7,1.2625,1000.0
2025-04-03 16:28:28,53.7,1.2625,1000.0
2025-04-03 16:28:33,53.7,1.2625,1000.0
2025-04-03 16:28:38,53.7,1.2625,1000.0
2025-04-03 16:28:43,53.7,1.2625,1000.0
2025-04-03 16:28:48,53.7,1.2625,1000.0
2025-04-03 16:28:53,53.2,1.2625,1000.0
2025-04-03 16:28:58,53.7,1.2625,1000.0
2025-04-03 16:29:03,53.7,1.2625,1000.0
2025-04-03 16:29:08,53.7,1.2625,1000.0
2025-04-03 16:29:13,53.7,1.2625,1000.0
2025-04-03 16:29:18,53.7,1.2625,1000.0
2025-04-03 16:29:23,53.7,1.2625,1000.0
2025-04-03 16:29:28,53.2,1.2625,1000.0
2025-04-03 16:29:33,53.7,1.2625,999.998
2025-04-03 16:29:38,53.7,1.2625,1000.0
2025-04-03 16:29:43,53.7,1.2625,1000.0
2025-04-03 16:29:48,54.2,1.2625,999.998
2025-04-03 16:29:53,54.2,1.2625,1000.0
2025-04-03 16:29:58,53.7,1.2625,1000.0
2025-04-03 16:30:03,53.7,1.2625,1000.0
2025-04-03 16:30:08,53.7,1.2625,1000.0
2025-04-03 16:30:13,53.7,1.2625,1000.002
2025-04-03 16:30:18,54.2,1.2625,1000.0
2025-04-03 16:30:23,53.7,1.2625,1000.002
2025-04-03 16:30:28,53.7,1.2625,1000.0
2025-04-03 16:30:33,54.2,1.2625,1000.0
2025-04-03 16:30:38,53.7,1.2625,1000.002
2025-04-03 16:30:43,53.7,1.2625,1000.0
2025-04-03 16:30:48,53.7,1.2625,1000.0
2025-04-03 16:30:53,53.7,1.2625,1000.0
2025-04-03 16:30:58,53.7,1.2625,1000.0
2025-04-03 16:31:03,53.7,1.2625,1000.0
2025-04-03 16:31:08,53.7,1.2625,1000.0
2025-04-03 16:31:13,53.7,1.2625,1000.0
2025-04-03 16:31:18,53.7,1.2625,1000.0
2025-04-03 16:31:23,53.7,1.2625,1000.0
2025-04-03 16:31:28,53.7,1.2625,1000.0
2025-04-03 16:31:33,53.7,1.2625,999.998
2025-04-03 16:31:38,53.7,1.2625,1000.0
2025-04-03 16:31:43,54.2,1.2625,1000.0
2025-04-03 16:31:48,53.7,1.2625,1000.0
2025-04-03 16:31:53,53.7,1.2625,1000.0
2025-04-03 16:31:58,54.2,1.2625,1000.0
2025-04-03 16:32:03,53.7,1.2625,1000.0
2025-04-03 16:32:08,53.7,1.2625,1000.0
2025-04-03 16:32:13,53.7,1.2625,1000.0
2025-04-03 16:32:18,54.8,1.2625,1000.0
2025-04-03 16:32:23,53.7,1.2625,1000.0
2025-04-03 16:32:28,54.2,1.2625,1000.002
2025-04-03 16:32:33,54.2,1.2625,1000.0
2025-04-03 16:32:39,53.7,1.2625,1000.0
2025-04-03 16:32:44,54.8,1.2625,1000.0
2025-04-03 16:32:49,53.7,1.2625,1000.0
2025-04-03 16:32:54,54.2,1.2625,1000.0
2025-04-03 16:32:59,54.8,1.2625,1000.0
2025-04-03 16:33:04,53.7,1.2625,1000.0
2025-04-03 16:33:09,53.7,1.2625,1000.0
2025-04-03 16:33:14,54.8,1.2625,1000.0
2025-04-03 16:33:19,54.8,1.2625,1000.0
2025-04-03 16:33:24,54.8,1.2625,1000.0
2025-04-03 16:33:29,54.8,1.2625,1000.0
2025-04-03 16:33:34,53.7,1.2625,999.998
2025-04-03 16:33:39,54.8,1.2625,1000.0
2025-04-03 16:33:44,54.8,1.2625,1000.0
2025-04-03 16:33:49,54.8,1.2625,1000.0
2025-04-03 16:33:54,54.2,1.2625,1000.0
2025-04-03 16:33:59,54.2,1.2625,1000.0
2025-04-03 16:34:04,54.2,1.2625,1000.0
2025-04-03 16:34:09,54.8,1.2625,1000.0
2025-04-03 16:34:14,54.8,1.2625,1000.0
2025-04-03 16:34:19,54.2,1.2625,1000.0
2025-04-03 16:34:24,55.3,1.2625,1000.0
2025-04-03 16:34:29,54.8,1.2625,1000.0
2025-04-03 16:34:34,54.2,1.2625,1000.0
2025-04-03 16:34:39,54.8,1.2625,1000.0
2025-04-03 16:34:44,54.8,1.2625,1000.0
2025-04-03 16:34:49,54.8,1.2625,1000.0
2025-04-03 16:34:54,54.8,1.2625,1000.0
2025-04-03 16:34:59,53.7,1.2625,1000.0
2025-04-03 16:35:04,53.7,1.2625,1000.002
2025-04-03 16:35:09,54.8,1.2625,1000.0
2025-04-03 16:35:14,54.2,1.2625,1000.0
2025-04-03 16:35:19,54.8,1.2625,1000.002
2025-04-03 16:35:24,54.2,1.2625,1000.0
2025-04-03 16:35:29,54.8,1.2625,1000.0
